ID,Wave,Epic,Priority,Status,Summary,Description,Pts
CRON-1,WAVE 0,Infrastructure,HIGH,OPEN,"Fix cron UTC offset: 45 5 → 10 45 (fires at 01:45 ET, not 05:45 ET)",Current: 45 5 * * * UTC = 01:45 ET. Target: 10 45 * * 1-5 UTC = 05:45 ET EST. This means the ETL runs in the middle of the night on yesterday's data. Fix before next market day.,1
CRON-2,WAVE 0,Security,CRIT,OPEN,Remove API keys from cron prompt body — move to env vars,"FINNHUB_KEY, FRED_API_KEY, SLACK_WEBHOOK are in plaintext in the cron prompt string. Anyone with cron config access sees all three credentials. Move to Azure VM environment variables or Key Vault. ETL already reads from env vars.",2
CRON-3,WAVE 0,Security,HIGH,OPEN,Fix SLACK_WEBHOOK double-fire — remove from cron prompt body,SLACK_WEBHOOK in both prompt body and delivery config. ETL already posts its own Slack alert at run end. Remove from prompt body to prevent duplicate messages on every run.,1
CRON-4,WAVE 0,Infrastructure,HIGH,OPEN,"Add dexter_notebooklm_upload.py as cron step 3 (after ETL, before Phase 0)",HEARTBEAT 05:55 step. Must run after ETL (which creates the files) and before Phase 0 (which reads them from NotebookLM). All source files must be in notebook before OpenClaw synthesises.,1
CRON-5,WAVE 0,Infrastructure,HIGH,OPEN,Add OpenClaw Phase 0-5 as cron step 6,Signal Aggregator through GMISR Reporter entirely absent from cron. Phase 0→0.5(conditional)→1→2→3→4→5 must be scheduled after NotebookLM upload completes.,2
CRON-6,WAVE 0,Infrastructure,MED,OPEN,Add DAILY_STATE.md update as cron step 7 (after Phase 5),Phase 5 output feeds DAILY_STATE.md carry-over. Currently not scheduled. Shadow journal section must be filled manually before re-opening NotebookLM.,1
CRON-7,WAVE 0,Infrastructure,MED,OPEN,Rename feedmd_config_03-01-2026.yml to date-agnostic name,Hardcoded date in config filename. Will silently use a March 1st config indefinitely. Rename to feedmd_config.yml or derive name dynamically.,1
CRON-8,WAVE 0,Infrastructure,MED,OPEN,Restrict cron to weekdays (1-5) and confirm weekend intent,Currently * * * = 7 days/week. Weekend ETL produces stale data. Recommend 1-5 unless Saturday/Sunday runs are intentional. Weekend data could confuse Monday Phase 1 regime read.,1
DL-1,WAVE 1,Dead-Letter Queue,MED,DONE,Define DeadLetterEntry dataclass and criticality map,"Typed DeadLetterEntry: timestamp, module, source_name, url, error_type, error_detail, is_critical, retry_hint. Critical sources: FRED WALCL/SOFR, yfinance VIX. Non-critical: Treasury auctions.",3
DL-2a,WAVE 1,Dead-Letter Queue,MED,DONE,Thread dead-letter through run_fred() and run_treasury() (M1/M2),Dead_letters list wired into Modules 1 and 2. Bare except replaced with DeadLetterEntry append.,2
DL-2b,WAVE 1,Dead-Letter Queue,MED,DONE,Thread dead-letter through run_market() and run_fed_and_dtcc() (M3/M5),Dead_letters list wired into Modules 3 and 5.,2
DL-2c,WAVE 1,Dead-Letter Queue,MED,OPEN,Thread dead-letter through run_news() and run_calendars() (M7/M6),Two remaining function signatures need dead_letters parameter. run_news() has many feed sources that currently fail silently. run_calendars() Finnhub calls.,2
DL-3,WAVE 1,Dead-Letter Queue,MED,OPEN,Write FAILED_{date}.json + DATA_FAILURES block in TIER_AUDIT,"After all modules complete: write FAILED_{run_date}.json. In build_tier_audit(): count critical failures, reduce CONVICTION_CAP by 0.2 per critical failure (floor 0.2), append DATA_FAILURES section.",3
OO-1,WAVE 1,Offline Observer,LOW,DONE,Define OBSERVATION_RULES dict per module,Expected minimums: FRED >= 400 chars + NET LIQUIDITY string; Auctions >= 10 records; Market CSV >= 15 rows; EDGAR >= 500 chars + PRIORITY 1; News >= 20000 chars + 8 sources; Calendars >= 100 chars.,2
OO-2,WAVE 1,Offline Observer,MED,OPEN,Implement run_offline_observer() as Module 9.5,"Runs after all modules, before build_tier_audit(). Reads each output file, applies OBSERVATION_RULES, builds observations dict with actual vs expected, pass/fail, degradation level. Cross-references dead-letter list.",5
OO-3,WAVE 1,Offline Observer,LOW,OPEN,Inject observation results into TIER_AUDIT and completion banner,Pass observations to build_tier_audit(). Add DATA_QUALITY_REPORT section. CORPUS_QUALITY = (passing/total) × 100. Print in banner alongside CONVICTION_CAP.,3
AW-1,WAVE 2,AWAP Pattern,MED,OPEN,Create staging/ directory structure and write_staged() helper,"Staging subdirectory in dexter_data/YYYYMMDD/. write_staged() writes to staging first; promote() copies to final. Final output files only exist if they passed audit. NotebookLM uploads from root, never sees staging.",3
AW-2,WAVE 2,AWAP Pattern,HIGH,OPEN,Implement pre-write input audit (Audit step 1),"audit_input(module, data, rules) → (passed, errors). Per module: FRED all 9 series non-None; market VIX/DGS10/one equity; EDGAR P1 or P2 hit; news 3+ feeds. Fail: write DEGRADED to staging, append dead_letter.",8
AW-3,WAVE 2,AWAP Pattern,HIGH,OPEN,Implement post-write output audit (Audit step 2),"audit_output(staged_path, rules). FRED_SUMMARY: all 9 labels; COMMODITIES: WTI+Brent non-zero; TIER_AUDIT: all required sections. Pass → promote(). Fail → AUDIT_FAILED_{module}_{date}.txt.",5
AW-4,WAVE 2,AWAP Pattern,MED,OPEN,Implement three audit failure strategies (Fail/Dispatch/Ignore),"Per-module AUDIT_FAILURE_STRATEGY: Fail (FRED), Dispatch to dead-letter (Treasury/market), Ignore+DEGRADED (news). TIER_AUDIT reflects which strategy fired.",5
SC-1,WAVE 2,Schema Compat,MED,OPEN,Define expected schemas for all external API responses,SCHEMAS dict in schema_registry.py. Treasury auctions_query required fields. FRED observations list. EDGAR _source with file_date. yfinance DataFrame with Close. Mark required/optional/deprecated.,3
SC-2,WAVE 2,Schema Compat,HIGH,OPEN,Implement validate_schema() and inject into fetch steps,"validate_schema(data, schema) → (compatible, drift_report). Three outcomes: compatible; forward-compatible (new optionals, log); backward-incompatible (required missing, → SCHEMA_DRIFT dead_letter). Inject into run_treasury/fred/edgar/market.",5
SC-3,WAVE 2,Schema Compat,LOW,OPEN,Write SCHEMA_DRIFT report and auto-update optional field registry,"SCHEMA_DRIFT_{date}.txt when new optionals appear. Auto-learn: new field 3 runs in a row → add to optional list with comment. Backward-incompatible → CRITICAL flag, halt module.",3
ID-1,WAVE 3,Idempotency,LOW,DONE,Define idempotency granularity and document the contract,run_date (YYYYMMDD) is the idempotency partition key. dexter_data/YYYYMMDD/ is one atomic unit. Two runs for same date produce identical output (same API responses).,1
ID-2,WAVE 3,Idempotency,HIGH,DONE,Fix FRED_SUMMARY append bug — most urgent idempotency violation,"Treasury XML block moved before write_file() in run_fred(). Built as tsy_block='', written once as summary+tsy_block. No read_text() anywhere. Confirmed fixed in 1.7.5.2.",2
ID-3,WAVE 3,Idempotency,HIGH,OPEN,Implement atomic write via stage-then-rename (write_atomic),"write_atomic(path, content): write to path.with_suffix('.tmp'), then os.replace(tmp→final). Atomic on POSIX. Add startup cleanup of *.tmp orphans. Replaces write_file() everywhere.",5
ID-4,WAVE 3,Idempotency,MED,OPEN,Add run MANIFEST.json with schema version and ETL script hash,"MANIFEST.json in dexter_data/YYYYMMDD/: run_date, etl_version (hash), schema_version, modules_completed, run_start/end. On re-run: skip completed modules unless --force-rerun.",5
ID-5,WAVE 3,Idempotency,MED,OPEN,Make EDGAR incremental with delta-column state file (edgar_state.json),"State file with last_successful_fetch_dt. since = max(last_fetch, today-14d). After successful write update state. 14-day backfill window. Eliminates ghost-filing problem.",5
ID-6,WAVE 3,Idempotency,MED,OPEN,--force-rerun flag and idempotency test procedure,"CLI flag: delete manifest, clear staging, re-run all. Test: run twice for same date, diff output — byte-identical except TIER_AUDIT timestamp.",3
SCRAP-1,WAVE 4,Scrapling,HIGH,OPEN,Refactor scrapling_news.py — Category A sources only,"Remove all 10 overlap sources (Reuters/FT/WSJ/CNBC/MarketWatch/BIS/Fed/FRED/SEC/Google — ETL already covers these). Keep: BoJ, PBOC, BoE, BCB, RBI, SAMA, Caixin, Risk.net, Trading Economics, Al Jazeera, Les Echos, Arabian Business, Brazil Journal, Hankook Ilbo, chinanews.com.cn. Reduces runtime ~50% and eliminates redundant data.",3
SCRAP-2,WAVE 4,Scrapling,HIGH,OPEN,Write merge_scrapling_into_corpus.py — append §SCRAPLING_SUPPLEMENT to NEWS_CORPUS,"Reads scraping output directory, reads existing NEWS_CORPUS_{date}.txt, appends §SCRAPLING_SUPPLEMENT section with tier-tagged content. Must run after ETL (NEWS_CORPUS must exist first) and before NotebookLM upload.",3
SCRAP-3,WAVE 4,Scrapling,MED,OPEN,Document scrapling data lineage in SYNC_CONTRACT v1.4,"Add scrapling_news.py to source registry. Map Category A sources to MACRO_TIERS tiers: BoJ/PBOC/BoE → Tier -1, Caixin → Tier 2/3, Risk.net → Tier -1/4. Document cron step order dependency.",1
SCRAP-4,WAVE 4,Scrapling,MED,OPEN,Wire scrapling Category A sources into MACRO_TIERS tier routing,Add BoJ/PBOC/BoE/BCB/RBI to MACRO_TIERS Tier -1 source list. Add Caixin/Brazil Journal to Tier 2/3 HDS routing. Add Risk.net to Tier -1 specialist sources. Update MACRO_TIERS v3.3.,2
GMISR-1,WAVE 5,GMISR v2.0,HIGH,OPEN,Add GICS codes to SENTENCE_DIRECTIVE setups (Phase 4 prompt),Every driver and active setup must carry full GICS code (e.g. 45103010). Phase 4 prompt addition. No ETL change required.,2
GMISR-2,WAVE 5,GMISR v2.0,HIGH,OPEN,Add qualitative invalidation condition per driver,Each setup in SENTENCE_DIRECTIVE must include: INVALIDATION: [specific condition that cancels the thesis]. e.g. 'US-Iran ceasefire' or 'CEO retracts exit'. Phase 4 prompt addition.,2
GMISR-3,WAVE 5,GMISR v2.0,HIGH,OPEN,Add Catalyst Map 24h/48h/72h as Block 10 to Phase 5 GMISR schema,"Structured forward-looking catalyst timeline: what to watch for in next 24h, 48h, 72h. Phase 5 prompt schema addition. Corresponds to v1.0 Block 10.",2
GMISR-4,WAVE 5,GMISR v2.0,HIGH,OPEN,Add structured pair trade output to Phase 5,Phase 5 GMISR Strategy Matrix block: Long [TICKER] ([GICS]) / Short [TICKER] ([GICS]) with GICS sector logic. Replaces individual setup list. Phase 5 prompt schema addition.,2
GMISR-5,WAVE 5,GMISR v2.0,MED,OPEN,Add per-claim source citation (Block 11 Data Lineage) to Phase 5,"Phase 5 GMISR Data Lineage block: cite source per major claim. Financial tables, geopolitical, macro/credit sources named. Phase 5 prompt addition.",2
GMISR-6,WAVE 5,GMISR v2.0,MED,OPEN,Add NDI (Narrative Divergence Index) to Phase 3 NARRATIVE_ALPHA output,Count distinct narrative clusters in NEWS_CORPUS. Score 0-1. Add to NARRATIVE_ALPHA contract as NDI field. Phase 3 prompt addition.,2
GMISR-7,WAVE 5,GMISR v2.0,MED,OPEN,Add Narrative Velocity / NLLI scoring to Phase 3,Score velocity of emerging vs established narrative clusters. New cluster gaining saturation = positive NLLI. Add NLLI to NARRATIVE_ALPHA contract.,3
DELTA-1,WAVE 5,Model Delta,MED,OPEN,Add Claude (Anthropic API) as Lineage B agent in AGENTS.md,"Add second researcher agent using Claude Sonnet via Anthropic API. Lineage A = Gemini flash-preview, Lineage B = Claude Sonnet. Both run Phase 3 (Fundamental Agent) independently on same corpus.",3
DELTA-2,WAVE 5,Model Delta,MED,OPEN,Write Phase 3.5 delta synthesiser prompt,"New phase between Phase 3 and Phase 4. Takes both NARRATIVE_ALPHA contracts (Lineage A + B). Identifies agreements (high confidence), disagreements (flag for human review), and synthesises into a single consolidated NARRATIVE_ALPHA_CONSENSUS. When lineages disagree on direction: flag CONFLICT_WITH_LINEAGE_B = TRUE.",3
DELTA-3,WAVE 5,Model Delta,MED,OPEN,Add Model Delta block (Block 4) to Phase 5 GMISR schema,"Block 4 in GMISR: what did Lineage A say, what did Lineage B say, where did they diverge, what was the synthesis decision. Maps to v1.0 Block 4.",2
DELTA-4,WAVE 5,Model Delta,LOW,OPEN,Define sizing rule from lineage delta,"When Lineage A and B disagree on direction: use cautionary lineage for position sizing (per v1.0 logic: Claude divergence for pair selection, ChatGPT cautionary sizing). Encode in Phase 4 SENTENCE_DIRECTIVE sizing formula.",2
SCORE-1,WAVE 5,Scored Metrics,MED,OPEN,Implement HDS auto-scoring in run_news(),Compute Headline Density Score per tier: count of matching headlines per tier_keywords group / total items. Write HDS per tier to NEWS_CORPUS header section. Top 3 themes by count = blob detection.,5
SCORE-2,WAVE 5,Scored Metrics,MED,OPEN,Implement VPI (Volatility Pricing Index) in build_tier_audit(),VPI = VIX_spot / (5-day realized vol proxy). VIX > realized → VIX lagging = VPI > 1 (underpriced stress). Requires 5-day VIX history from RUN_HISTORY.log. Add to TIER_AUDIT.,3
SCORE-3,WAVE 5,Scored Metrics,MED,OPEN,Implement LFI (Liquidity Friction Index) in build_tier_audit(),LFI = composite of: FRA-OIS normalised (0-1 over 0-60bps range) + BDC price discount to NAV proxy + EDGAR 8-K withdrawal/redemption count. Write to TIER_AUDIT.,5
SCORE-4,WAVE 5,Scored Metrics,MED,OPEN,Implement NLLI (Narrative Lag-Lead Indicator) in run_news(),Compare current run's tier headline counts to prior 5-run rolling average. Rising count in tier = positive NLLI for that tier. Write NLLI vector to NEWS_CORPUS header.,5
SCORE-5,WAVE 5,Scored Metrics,LOW,OPEN,Implement CCS (Cross-Correlation Score) in run_market(),"CCS = correlation between ratio-pair movements (TQQQ/SQQQ, Gold/NASDAQ etc) vs broad index. Low CCS = idiosyncratic alpha opportunity. Requires 5-day price history.",5
SCORE-6,WAVE 5,Scored Metrics,LOW,OPEN,Implement CXOD (Cross-Asset Order Delta) in run_market(),"CXOD = signed flow divergence: (USO 1d return) - (QQQ 1d return). Positive = energy bid, equities sold. Negative = risk-on. Write to COMMODITIES/EQUITIES files.",3
SCORE-7,WAVE 5,Scored Metrics,LOW,OPEN,Implement PSI (Policy Sensitivity Index) in build_tier_audit(),PSI = composite of: GDP revision magnitude + FRA-OIS level + high-impact events within 5 days + earnings guidance revision count. Higher PSI = higher policy error risk.,5
IQ-5,WAVE 5,Advanced Signals,MED,DONE,COT/CFTC positioning (Module 6b Layer 4) — LIVE,"CFTC non-commercial net long on USD Index (098662) via /api/v3/. Confirmed working 2026-03-22. net=-9,180 = NEUTRAL. Composite unaffected by positioning at this level.",2
T4-8,WAVE 5,Advanced Signals,MED,OPEN,Gold/NASDAQ absolute >0.30 flag in TIER_AUDIT,MA deviation exists (gn_ma_pct). Absolute ratio flag (gn_ratio > 300 at ×1000 scale) is missing from TIER_AUDIT. Add as separate row in TIER_5 block.,2
T4-10,WAVE 5,Advanced Signals,HIGH,OPEN,RATIO_SIGNALS named section in TIER_AUDIT — schema 2.0.0.0,Major schema change: add dedicated RATIO_SIGNALS section listing all SOUL §3 ratio pair statuses in a consistent format. Requires build_tier_audit() rewrite and version bump.,8
P1-1,WAVE 6,Parquet snapshot layer,HIGH,OPEN,Add write_parquet_snapshot() to ETL main(),"After build_tier_audit() completes, write one Parquet row to dexter_data/parquet/gmisr_metrics/ partitioned by run_date. 28 typed columns: all TIER_AUDIT scalars + scored metrics (HDS/VPI/LFI/NLLI/PSI/CXOD/NDI) + regime + conviction_cap + sentence_bias + dollar_composite + cftc_net + all ratio values. pandas .to_parquet(). Zero infra — writes to local disk. ETL bump to 1.8.0.0.",3
P1-2,WAVE 6,Parquet snapshot layer,HIGH,OPEN,Define and lock GMISR_METRICS Parquet schema v1.0,Create schema_registry.py entry for gmisr_metrics. 28 typed columns. Scored metric columns NULLABLE until SCORE-1/7 Wave 5 work lands. Schema version in MANIFEST.json. Breaking changes require migration script.,2
P1-3,WAVE 6,Parquet snapshot layer,MED,OPEN,Add phase1_agreement and actual_spx_5d ML label columns,phase1_agreement BOOL: written retrospectively from DAILY_STATE.md shadow journal field after Phase 10. actual_spx_5d FLOAT: forward-filled weekly cron — SPX return for runs where 5 trading days elapsed. These are the two primary ML target label columns. Cannot be filled at run time.,3
P1-4,WAVE 6,Parquet snapshot layer,MED,OPEN,Write backfill_parquet.py — populate history from existing run archives,"One-time script: reads RUN_HISTORY.log to enumerate past run dates, parses each dexter_data/YYYYMMDD/ TIER_AUDIT + FRED_SUMMARY + DOLLAR_DECOMP into structured dicts, writes Parquet rows for all historical dates. Nullable for fields not in older ETL versions. Idempotent: skips run_dates already in store.",5
P2-1,WAVE 6,DuckDB analytics layer,MED,OPEN,Set up DuckDB + Evidence.dev local dashboard,"pip install duckdb. Write dexter_analytics.py: connects to gmisr_metrics Parquet, exposes 5 standard queries (regime trend 90d, metric heatmap, conviction history, NLLI velocity chart, phase1_agreement accuracy rate). Evidence.dev renders static local dashboard from SQL. Zero infra, runs on-machine.",3
P2-2,WAVE 6,DuckDB analytics layer,MED,OPEN,Build 30/60/90-day regime and metrics dashboard,Dashboard pages: (1) Regime timeline bar chart with conviction_cap overlay. (2) Scored metrics heatmap HDS/VPI/LFI/NLLI/PSI colour-coded by week. (3) Dollar decomp history COMMODITY_REGIME vs TRUE_RISK_OFF over time. (4) Shadow journal accuracy — rolling PHASE1_AGREEMENT % by month. Replaces ad-hoc NotebookLM lookbacks.,3
P3-1,WAVE 6,Feature store (ML bridge),LOW,OPEN,Implement Feast feature store — point-in-time correct training sets,pip install feast. Define FeatureView over gmisr_metrics Parquet. Entity = run_date. Features = all scored metrics + tier fields. Materialise to local SQLite online store. Key function: get_historical_features() returns training dataset with no look-ahead bias. Prerequisite for Wave 7 HMM classifier.,5
P4-1,WAVE 6,ML regime classifier,LOW,OPEN,Build regime classifier v1.0 — HMM on scored metrics,"Requires >= 30 labelled run_dates (Kelly activation gate). Features: [HDS, VPI, LFI, VX_ratio, FRA-OIS, net_liq_roc, NLLI]. Label: regime A/B/C. Model: Hidden Markov Model (hmmlearn). Regime = hidden state, metrics = observations. Validation: HMM calls vs PHASE1_AGREEMENT shadow journal labels. Phase 10 auditor reports HMM accuracy weekly. Do not activate before 30-trade gate.",8
P4-2,WAVE 6,ML regime classifier,LOW,OPEN,Build SENTENCE_DIRECTIVE outcome tracker — P&L attribution log,"For each SENTENCE_DIRECTIVE conviction >= 0.40: record entry trigger, stop, target, actual_exit, outcome (win/loss/stopped/expired). Write to trade_log.parquet partitioned by run_date. Phase 10 auditor reads trade_log for attribution. Kelly fraction activates when trade_log has >= 30 closed trades.",5
P4-3,WAVE 6,ML regime classifier,LOW,OPEN,Kelly fraction activation and SOUL.md v3.0 update,When trade_log >= 30 closed: compute win_rate and avg_win/loss_ratio. Kelly = win_rate - (1-win_rate)/ratio. Phase 10 produces Kelly note for SOUL.md. Fixed-fractional (1%) active until this gate. Transition from paper-sizing to empirical sizing — SOUL.md version 3.0.,2
CAL-1,WAVE 5,Econ Calendar,HIGH,OPEN,"Enrich run_calendars() — add region, status (released/upcoming), ET time conversion","Current: filters HIGH only, no country code, UTC time, no released/upcoming split. Add: region lookup dict mapping event strings → country code (US/EU/JP/UK/EM). Add: status = RELEASED if event_time < run_time else UPCOMING. Add: ET timezone conversion (UTC → America/New_York). Add: medium-impact events (currently dropped). Produces richer ECON_CALENDAR_{date}.txt.",3
CAL-2,WAVE 5,Econ Calendar,HIGH,OPEN,Add ForexFactory / TradingEconomics calendar as primary source alongside Finnhub,"ForexFactory XML calendar (forexfactory.com/calendar.xml) is the de facto FX trader standard. Provides: country, impact (Low/Medium/High), title, forecast, actual, previous. Free, no auth. TradingEconomics RSS as secondary. Merge with Finnhub, deduplicate by event+date. ForexFactory covers ECB speaker events, central bank speeches Finnhub misses.",3
CAL-3,WAVE 5,Econ Calendar,HIGH,OPEN,Add Atlanta Fed GDPNow as a dedicated ETL source (Module 6c),GDPNow updates Tuesday and Thursday at ~13:00 ET. Scrape atlantafed.org/cqer/research/gdpnow current estimate + prior estimate. Write to ECON_CALENDAR_{date}.txt as a separate NOWCAST section. Tier 1 relevance: GDP nowcast is a leading indicator of Fed policy path. Uses scrapling (JS-rendered page) or direct HTML parse.,2
CAL-4,WAVE 5,Econ Calendar,MED,OPEN,Add tier_tag mapping to each calendar event,"Create ECON_TIER_MAP dict: keywords → tier. Examples: 'CPI','PCE','inflation' → Tier 2; 'GDP','NFP','unemployment' → Tier 1; 'fed funds','FOMC','rate decision' → Tier -1; 'BoJ','ECB','BoE' speaker → Tier -1 + Tier 3; trade balance → Tier 3. Write tier_tag to each event line in ECON_CALENDAR. Phase 0 uses this to route event into the correct tier section of TIER_AUDIT.",2
CAL-5,WAVE 5,Econ Calendar,MED,OPEN,Compute and write event suppression scalars per-event in ECON_CALENDAR,"Current: suppression scalar note is text-only. Add per-event scalar computation: FOMC day = 0.25, FOMC T-1 = 0.50, CPI day = 0.30, CPI T-1 = 0.60, Major CB speaker (ECB/BoE/BoJ) = 0.75, Major auction day = 0.75, no events = 1.0. Write both scalar and next-day T-1 scalar to file. Phase 2 GatePass reads these directly instead of re-computing from raw event list.",2
CAL-6,WAVE 5,Econ Calendar,MED,OPEN,Add released vs upcoming split with actual vs forecast delta in ECON_CALENDAR,"For RELEASED events (event_time < run_time): compute surprise_delta = actual - forecast. Flag BEAT (delta positive, lower=better reversed for CPI etc) or MISS. Write: 'RELEASED -- Singapore CPI 1.2% actual vs 1.3% forecast [BEAT] [TIER 2]'. For UPCOMING events: write forecast, prior, time until release. Phase 3 Fundamental Agent reads RELEASED actuals as a tier-tagged signal source.",3
CAL-7,WAVE 5,Econ Calendar,LOW,OPEN,Add central bank speaker event scraping from ECB/BoJ/BoE press release RSS,"ECB: ecb.europa.eu/press/calendars/mopo/html/index.en.html RSS. BoJ: boj.or.jp/en/announcements/release/index.htm RSS. BoE: bankofengland.co.uk/rss/publications RSS. Extract speaker name, title, time, topic. Write as SPEAKER_EVENTS section in ECON_CALENDAR. Tier tag: Tier -1 (rate path) + Tier 3 (FX impact). These are the events Finnhub misses (ECB Lane example in feedback).",3
GMISR-8,WAVE 5,GMISR v2.0,HIGH,OPEN,Add Block 2.5 Economic Calendar to Phase 5 GMISR schema,New block between tier snapshot (Block 3) and scored metrics (Block 2). Structure: (1) Released section with actual/forecast/prior and tier-tagged narrative. (2) Upcoming section with suppression scalar per event. (3) Suppression scalar summary line for Phase 2 gate reference. Region and impact filter buttons in HTML output. Phase 3 Fundamental Agent generates 1-sentence narrative per high/med-impact event using the tier_tag and surprise_delta fields from ECON_CALENDAR.,2
SEC-1,WAVE 5,EDGAR v2.0,HIGH,OPEN,"Add filing size, CIK, and minute-level timestamp to EDGAR_.txt output","Current: entity name + form type + date only. Add: _id (CIK), file_size_bytes (from EDGAR EFTS _source.file_size or HEAD request), and filed_at timestamp with HH:MM. Size is a primary v2.0 signal: 301KB CoreWeave cluster vs 10KB routine Form 4. Minute-level timing enables window clustering (7-min CoreWeave, 9-min NVIDIA, 1-min Cadence). Output format: DATE HH:MM  FORM  ENTITY  CIK  SIZE_KB  SIGNAL_NOTES",3
SEC-2,WAVE 5,EDGAR v2.0,HIGH,OPEN,Add Form 4 transaction type parsing — acquisition vs disposal direction,"Current: all Form 4s treated equally. Need: parse transaction code from Form 4 XML (transactionCode field: P=purchase, S=sale, F=tax withholding, A=award, M=option exercise). Only P (open-market purchase) and S (open-market sale) are credible signals. Filter out: F, A, M, V (option exercises, awards, RSU vesting). Write direction to EDGAR_.txt as [BUY] or [SELL] or [RSU/OPTION - not signal]. Requires EDGAR individual filing XML parse for each Form 4 hit.",5
SEC-3,WAVE 5,EDGAR v2.0,HIGH,OPEN,Add GICS 8-digit code lookup from SIC code on all filing entities,"EDGAR EFTS returns sic (SIC code) in _source. Build SIC_TO_GICS mapping dict (SIC 3674=45301020 Semiconductors, SIC 7372=45103010 Application Software, etc). Approximately 200 mappings cover 90% of filing volume. Write GICS code to every filing row in EDGAR_.txt. Enables: buy/sell ratio aggregation by 8-digit sector, GICS divergence analysis (v2.0 §2C), and validated pair trade GICS in SENTENCE_DIRECTIVE.",5
