Issue ID,Summary,Description,Team,Component,Story Points
OB-2,Skew Detector — BTC (bid-to-cover) count vs 4-week rolling average,Compute rolling_avg_btc = mean of last 20 auction BTC values per security type. Flag: if current BTC deviates > 15% from rolling_avg = AUCTION_SKEW alert in TIER_AUDIT. Distinguishes one-off weak auction from trend deterioration. Skew Detector pattern per WBS 6.1 Book Ch. 10. Write BTC rolling avg to TREASURY_AUCTIONS section. ETL 2.x.0.0.,Assurance & Ops,Core-ETL,2
OB-3,Filter Interceptor — NEWS_CORPUS UNCLASSIFIED rate per feed,In run_news(): compute pct_unclassified per RSS feed source. If any feed > 40% UNCLASSIFIED consistently (3 runs): flag feed for quality review. Write per-feed UNCLASSIFIED% to NEWS_CORPUS header alongside HDS. Filter Interceptor pattern per WBS 6.1 Book Ch. 3. Feeds with > 40% UNCLASSIFIED reduce their HDS weight contribution. FinBERT/SBERT upgrade (ID:132) directly reduces UNCLASSIFIED rate. ETL 2.x.0.0.,Assurance & Ops,Core-ETL,2
OB-4,Data retention policy — TTL for raw ETL outputs + cleanup script,"Raw ETL text files in dexter_data/YYYYMMDD/: 30-day TTL. TIER_AUDIT files: indefinite retention (source of truth for shadow journal). GMISR_METRICS Parquet: indefinite retention (ML training data). Write cleanup_old_runs.py: deletes raw files older than 30 days, preserves TIER_AUDIT. Run as weekly cron on Sunday alongside Phase 10 audit. Configurable TTL via env var.",Assurance & Ops,Core-ETL,2
OB-5,Fine-grained lineage SOURCE_MAP — shared scope with IQ-7,Shared implementation with IQ-7 (SOURCE_MAP in TIER_AUDIT). OB-5 extends to the Parquet/Gold layer: each Parquet row includes source_hash column linking to the specific ETL run that produced it. Fine-Grained Tracker pattern per WBS 6.1 Book Ch. 10. In Databricks Gold: Unity Catalog lineage tracks Bronze→Silver→Gold for each field. Implement IQ-7 first — OB-5 is the cloud extension of the same concept.,Assurance & Ops,Core-ETL,1
ARCH-1,Provision Databricks workspace and Unity Catalog — midas.bronze/silver/gold namespaces,"Create Databricks workspace (Azure/AWS). Enable Unity Catalog. Create three-level namespace: catalog=midas, schemas=bronze/silver/gold. Grant Dexter ETL service principal WRITE on bronze, READ on silver/gold. Grant OpenClaw/Claude MCP service principal READ on silver and gold only. This is the prerequisite gate for all M-BRNZ, M-SILV, M-GOLD items. Databricks is already in the connected MCP server list (dbc-0df8fb6d-4908.cloud.databricks.com).",Sentinel Alpha,Databricks-Platform,3
ARCH-2,Define canonical entity resolution schema — ticker normalisation map,"Current state: GC=F (yfinance) vs GOLD (equities txt) vs COM_GOLD (proposed canonical). Build ENTITY_MAP table in Unity Catalog: source_id, source_system, canonical_id, asset_class. Examples: GC=F → COM_GOLD, DX-Y.NYB → FX_DXY, WALCL → FRED_WALCL. All Silver tables join through ENTITY_MAP — never raw source identifiers. This is the entity resolution (Gate 3) prerequisite for all Silver transforms. Also resolves the 'calculation difference' problem: one canonical ID, one calculation.",Sentinel Alpha,Core-ETL,3
ARCH-3,Define temporal alignment standard — ISO-8601 UTC across all layers,"Current state: TIER_AUDIT uses ET timestamp, SEC_FTD uses YYYY-MM-DD date only, News corpus uses RFC-822 (Fri, 20 Mar 2026), FRED uses YYYY-MM-DD. Silver standard: all timestamps converted to ingest_timestamp_utc (ISO-8601, UTC). Write timestamp_normalise(raw_ts, source_tz) utility function used in all DLT transforms. Document in SYNC_CONTRACT v1.5 as the temporal alignment canonical rule.",Sentinel Alpha,Core-ETL,2
BRNZ-1,Register ETL flat-file outputs as Delta Lake Bronze tables in Unity Catalog,"Current Wave 6 P1-1 writes Parquet locally. Extend: also COPY INTO midas.bronze.{table} after each ETL run. One Bronze table per ETL output file type: bronze.fred_summary, bronze.market_data, bronze.treasury_auctions, bronze.dollar_decomp, bronze.sec_ftd, bronze.edgar_filings, bronze.news_corpus, bronze.econ_calendar, bronze.polymarket_signals. Bronze = raw, append-only, no transforms. Includes _metadata.file_path for lineage. ETL service principal writes via databricks-connect or DBFS mount.",Sentinel Alpha,Databricks-Platform,5
BRNZ-2,Add _rescued_data column handling for schema mismatches at Bronze ingest,"DLT auto-routes schema-mismatched fields to _rescued_data column rather than failing the pipeline. Implement: for each Bronze table, define expected schema. Mismatched rows land in _rescued_data as JSON string with source path. Daily monitoring query: SELECT COUNT(*) FROM midas.bronze.* WHERE _rescued_data IS NOT NULL. Alert via Slack if rescued_count > 0 on critical tables (fred_summary, tier_audit). This is the Databricks equivalent of our SCHEMA_DRIFT report (SC-3).",Sentinel Alpha,Core-ETL,3
BRNZ-3,Implement calculation hash (Gate 4) on Bronze model outputs,"For TIER_AUDIT and DOLLAR_DECOMP outputs: compute SHA-256 hash of the decision fields (regime_label, conviction_cap, dollar_composite) at Bronze write time. Store hash in bronze.tier_audit.output_hash column. On Silver promotion: recompute hash from Silver inputs. If hash diverges for same run_date: trigger CALCULATION_DRIFT alert to Slack. This solves the Gemini vs Claude model output drift problem explicitly. Gate 4 from the Medallion document.",Sentinel Alpha,Core-ETL,3
SILV-1,Build Silver DLT pipeline — refined_market_prices streaming table,"DLT streaming table consuming bronze.market_data + bronze.fred_summary + bronze.polymarket_signals. Gate 1 (Schema): enforce price DOUBLE, timestamp DATE, ticker STRING NOT NULL. Gate 2 (Quality): EXPECT (price > 0) ON VIOLATION DROP ROW, EXPECT (ABS(brent_price - wti_price) < 15) ON VIOLATION QUARANTINE, EXPECT (vx1_vx2_ratio BETWEEN 0.80 AND 1.50) ON VIOLATION DROP ROW. Gate 3 (Entity): join through ENTITY_MAP, convert to canonical_id. Output: midas.silver.refined_market_prices with source_origin lineage column.",Sentinel Alpha,Core-ETL,5
SILV-2,Build Silver DLT pipeline — sovereign_stress_monitor streaming table,"Consuming bronze.dollar_decomp + bronze.treasury_auctions + bronze.econ_calendar. Gate 1: enforce us_de_spread DOUBLE, auction_btc DOUBLE, event_time TIMESTAMP. Gate 2: EXPECT (us_de_spread IS NOT NULL) ON VIOLATION QUARANTINE, EXPECT (auction_btc > 0) ON VIOLATION DROP ROW, EXPECT (fra_ois_bps BETWEEN -10 AND 200) ON VIOLATION QUARANTINE. Gate 3: all timestamps to UTC, DOLLAR_DECOMP completeness check — all 4 layers (rates/funding/commodity/positioning) must be non-null before day is marked COMPLETE. Output: midas.silver.sovereign_stress_monitor.",Sentinel Alpha,Core-ETL,5
SILV-3,Build Silver DLT pipeline — settlement_risk_indices streaming table,"Consuming bronze.sec_ftd + bronze.edgar_filings. Gate 1: enforce symbol STRING, quantity_fails INTEGER, settlement_date DATE. Gate 2: EXPECT (price > 0 OR price IS NULL) ON VIOLATION QUARANTINE (SEC_FTD has legitimate zero-price rows for newly listed securities), EXPECT (symbol matches master ticker list) ON VIOLATION DROP ROW. Gate 3: EDGAR entity names normalised through ENTITY_MAP. Output: midas.silver.settlement_risk_indices with TQQQ_FTD as first-class column.",Sentinel Alpha,Core-ETL,3
SILV-4,Implement Great Expectations suite — 7 named expectations against ETL file types,"Deploy GX (pip install great-expectations) as validation layer between Bronze and Silver. Expectation Suite: dexter_midas_silver_suite. Seven named expectations from document: (1) price_positive: expect_column_values_to_be_greater_than(col=PRICE, val=0) on SEC_FTD. (2) brent_wti_spread: expect_column_pair_values_to_be_between(brent, wti, min=1, max=15) on COMMODITIES. (3) vx_ratio_logic: expect_column_value_to_be_true(VOL_WATCH_FLAG) IF vx_ratio BETWEEN 0.93 AND 1.05. (4) timestamp_format: expect_column_values_to_match_strftime_format(format=%Y-%m-%dT%H:%M:%S). (5) ticker_not_null: expect_column_values_to_not_be_null(col=ticker). (6) fred_yfinance_deviation: custom expectation ABS(fred_wti - yf_wti)/fred_wti < 0.02. (7) tier_completeness: expect TIER_NEG2 through TIER_5 all non-null before Gold publish. GX Data Docs written to dexter_data/gx_docs/ and uploaded to NotebookLM.",Sentinel Alpha,Core-ETL,8
GOLD-1,Build mkt_regime_final Gold materialized view — REGIME_RULES.md as code,"Materialized view consuming silver.refined_market_prices + silver.sovereign_stress_monitor. Implements REGIME_RULES.md logic as SQL: Regime A: net_liq_roc < 0 AND fra_ois_bps BETWEEN 15 AND 40. Regime B: net_liq_roc > 0 AND fra_ois_bps < 15. Regime C: fra_ois_bps > 60 OR vx_ratio < 0.93. Gate 5 (Completeness quorum): do not publish Gold for run_date unless ALL critical Silver sources for that date are marked COMPLETE. If SEC_FTD is STALE: output Low_Confidence flag, not blocking. Output: midas.gold.mkt_regime_final (regime_label, confidence, signals_confirming, run_date).",Sentinel Alpha,Core-ETL,5
GOLD-2,Build risk_sentinel_status Gold materialized view — SOUL.md §3/§4 as code,"Materialised view computing CONVICTION_CAP and RISK_SENTINEL_TRIGGER from Silver data. CONVICTION_CAP logic: 1.0 (clean) → 0.5 (stale WALCL/SOFR) → 0.4 (vx_ratio 0.93-1.05) → 0.0 (halt). RISK_SENTINEL_TRIGGER: YES if VIX>35 OR fra_ois_bps>60 OR vx_ratio<0.93 OR net_liq_roc_b<-150. Gold output replaces the TIER_AUDIT text file as the authoritative source for Phase 2 GatePass. Claude MCP queries this table instead of reading TIER_AUDIT text. Output: midas.gold.risk_sentinel_status (conviction_cap, sentinel_trigger, vol_watch, run_date).",Sentinel Alpha,Core-ETL,5
GOLD-3,Build liquidity_gate Gold materialized view — MACRO_TIERS §Tier -2 as code,"Materialised view: net_liq_b = WALCL - TGA - RRP (from silver.sovereign_stress_monitor). is_blocked = CASE WHEN net_liq_roc_b < 0 THEN TRUE ELSE FALSE END. gate_status = OPEN/RESTRICTED/CLOSED per Phase 2 GatePass logic. max_positions = CASE regime: A=3, B=5, C=2. Output: midas.gold.liquidity_gate (gate_status, is_blocked, max_positions, position_size_scalar). Phase 2 GatePass agent reads this Gold table directly instead of re-deriving from raw ETL.",Sentinel Alpha,Core-ETL,3
GOLD-4,Build backtest_integrity Gold table — DAILY_STATE.md shadow journal as first-class asset,"Append-only table consuming DAILY_STATE.md PHASE1_AGREEMENT field after each Phase 10 Sunday run. Schema: run_date, regime_label, phase1_agreement BOOL, phase1_delta TEXT, regime_dist_a FLOAT, regime_dist_b FLOAT, regime_dist_c FLOAT, dominant_signal TEXT. Compute rolling epistemic_accuracy = 30-day average of phase1_agreement. Alert via Slack if epistemic_accuracy drops below 60% (operator is diverging from model). This is the 'Human-in-the-loop Gold layer' from the document. Feeds directly into Wave 7 HMM regime classifier training as label source.",Sentinel Alpha,Core-ETL,3
GOLD-5,Build sync_audit Gold table — DEXTER_SYNC_CONTRACT.md compliance as code,"Daily compliance check: verify ETL TRIGGERS dict values match SOUL §3 canonical thresholds. If any threshold drifts (e.g. fra_ois_watch_bps changes in code but not in SOUL §3): write SYNC_VIOLATION row to midas.gold.sync_audit. Schema: run_date, field_name, etl_value, soul_value, is_compliant BOOL, drift_note TEXT. Replaces manual SYNC_CONTRACT audit. Phase 10 auditor reads sync_audit instead of manual diff.",Sentinel Alpha,Core-ETL,2
MCP-1,Wire Claude MCP Databricks connector to Gold tables — read-only service principal,"Databricks MCP server already in AGENTS.md connected list (dbc-0df8fb6d-4908.cloud.databricks.com). Configure: Claude reads midas.gold.* tables via MCP SQL queries. Claude does NOT calculate regime — it queries mkt_regime_final and explains why. Claude does NOT compute CONVICTION_CAP — it reads risk_sentinel_status. Add to AGENTS.md: 'For regime classification queries, use Databricks MCP tool to query midas.gold.mkt_regime_final before Phase 1 analysis.' This eliminates calculation differences between Gemini and Claude lineages — both read from the same Gold table.",Sentinel Alpha,Databricks-Platform,3
MCP-2,Add Gold table query examples to Phase 0 and Phase 2 prompts in manifest,"Update MIDAS_SENTINEL_PROMPT_LIBRARY v2026.5: Phase 0 (Signal Aggregator): if Databricks MCP available, query midas.gold.risk_sentinel_status for run_date before reading TIER_AUDIT text. Gold table takes precedence over TIER_AUDIT text file when both available. Phase 2 (GatePass): query midas.gold.liquidity_gate for gate_status and scalars. Phase 5 (GMISR): query midas.gold.mkt_regime_final for regime_label and confidence. TIER_AUDIT text file remains fallback when Databricks MCP unavailable.",Sentinel Alpha,Core-ETL,2
SYNC-4,Update SYNC_CONTRACT v1.5 — Medallion layer mapping and temporal alignment standard,Add Medallion section: Bronze: raw ETL output files registered in Unity Catalog. Silver: three refined tables with DLT pipelines and GX expectations. Gold: four decision tables as materialized views — REGIME_RULES/SOUL/MACRO_TIERS/DAILY_STATE as code. Temporal alignment: all timestamps → ISO-8601 UTC via timestamp_normalise(). Entity resolution: all asset identifiers → canonical_id via ENTITY_MAP. Canonical Gold sources: midas.gold.* tables supersede ETL text files when available. Add Wave/item cross-reference table: which WBS item builds which Bronze/Silver/Gold table.,Sentinel Alpha,Core-ETL,2
SYNC-5,Annotate existing Wave 2/3/6 items with Medallion layer equivalence notes,Add annotation to WBS descriptions for: AW-1/2/3/4 → 'local equivalent of Bronze→Silver Gate 1/2/3 logic.' SC-1/2/3 → 'local equivalent of Unity Catalog schema enforcement.' ID-3 → 'local equivalent of Delta Lake ACID write.' P1-1 → 'local Bronze layer; Wave 7 BRNZ-1 is the cloud version.' P2-1 → 'local Silver query layer; Wave 7 GOLD-1 is the cloud version.' This annotation prevents teams implementing both layers from duplicating logic rather than building the cloud version on top of the local version.,Sentinel Alpha,Core-ETL,1
